regional_geocode,pop,macroregion_name,pop_max,pop_norm
26010,4185337,Nordeste,4773653,0.8767576947884566
26011,146518,Nordeste,4773653,0.03069305624015822
26012,246619,Nordeste,4773653,0.05166253181787616
27001,1279770,Nordeste,4773653,0.26809028641168514
27002,160980,Nordeste,4773653,0.03372260195703374
27003,201336,Nordeste,4773653,0.04217650507902439
27004,127652,Nordeste,4773653,0.02674094660839403
27005,196565,Nordeste,4773653,0.041177060837895005
27006,192528,Nordeste,4773653,0.04033137724924706
27007,522777,Nordeste,4773653,0.10951298722383047
27008,154566,Nordeste,4773653,0.03237897685483214
27009,229448,Nordeste,4773653,0.04806549617242812
27010,152759,Nordeste,4773653,0.032000440752606024
28001,842922,Nordeste,4773653,0.1765779791702497
28002,237664,Nordeste,4773653,0.049786609960967
28003,257568,Nordeste,4773653,0.05395616313125399
28004,262453,Nordeste,4773653,0.05497948845464888
28005,174336,Nordeste,4773653,0.03652045927929826
28006,346458,Nordeste,4773653,0.07257712280301899
28007,152188,Nordeste,4773653,0.0318808258581007
29001,518969,Nordeste,4773653,0.10871527528289132
29002,494929,Nordeste,4773653,0.1036792996893574
29003,407708,Nordeste,4773653,0.08540796744128658
29004,606704,Nordeste,4773653,0.1270942818843347
29005,252156,Nordeste,4773653,0.052822440173175556
29006,1187669,Nordeste,4773653,0.24879667625610827
29007,473526,Nordeste,4773653,0.09919573123559672
29008,194651,Nordeste,4773653,0.04077611003564775
29009,332877,Nordeste,4773653,0.06973213176575675
29010,418113,Nordeste,4773653,0.08758763990595882
29011,247286,Nordeste,4773653,0.05180225709744717
29012,481269,Nordeste,4773653,0.10081775948105151
29013,234630,Nordeste,4773653,0.04915103799962
29014,390299,Nordeste,4773653,0.08176107479952983
29015,511920,Nordeste,4773653,0.10723862836280727
29016,576157,Nordeste,4773653,0.12069519925306678
29017,250891,Nordeste,4773653,0.0525574439532995
29018,408907,Nordeste,4773653,0.08565913777142997
29019,366107,Nordeste,4773653,0.07669325776297523
